Dimensions.Height,Dimensions.Length,Dimensions.Width,Engine Information.Number of Forward Gears,Fuel Information.City mpg,Identification.Year,Engine Information.Engine Statistics.Horsepower,Engine Information.Engine Statistics.Torque
10,215,69,6,18,2010,235,236
24,216,133,4,18,2010,157,178
24,216,133,5,17,2010,270,278
24,216,133,5,17,2010,270,278
93,216,133,5,17,2010,270,278
24,216,133,5,17,2010,270,278
24,216,133,5,17,2010,270,278
143,196,203,6,21,2012,200,207
152,240,57,6,17,2010,271,251
152,240,57,5,21,2010,190,162
152,240,57,5,22,2010,190,162
152,240,57,5,21,2010,190,162
152,240,57,5,19,2010,271,251
152,240,57,5,22,2010,190,162
152,240,57,5,21,2010,190,162
152,240,57,5,22,2010,190,162
45,150,57,6,18,2011,332,270
45,150,57,7,18,2011,332,270
45,150,57,6,18,2011,332,270
45,150,57,7,18,2011,332,270
45,150,57,6,18,2010,332,270
45,150,57,6,18,2010,332,270
45,150,57,7,18,2010,332,270
45,150,57,7,18,2010,332,270
143,196,203,6,21,2011,200,207
35,150,52,6,18,2011,332,270
35,150,52,6,18,2011,332,270
35,150,52,7,19,2011,332,270
35,150,52,6,18,2011,332,270
143,196,203,6,21,2010,200,207
35,150,52,7,19,2010,332,270
35,150,52,6,18,2010,332,270
35,150,52,6,18,2010,332,270
35,150,52,7,19,2010,332,270
147,95,248,6,21,2012,211,258
147,95,248,8,21,2012,211,258
147,95,214,6,21,2011,211,258
147,95,214,8,21,2011,211,258
193,57,186,5,29,2012,120,112
193,57,186,5,29,2012,120,112
193,57,186,5,29,2012,120,112
193,57,160,5,38,2011,120,112
193,57,160,5,28,2011,120,112
193,57,160,5,28,2011,120,112
167,168,247,5,21,2011,227,236
167,168,247,6,21,2011,227,236
167,155,247,5,21,2010,227,236
167,155,247,6,21,2010,227,236
147,95,34,6,21,2010,211,258
147,95,34,6,22,2010,211,258
172,123,234,5,21,2010,168,170
190,123,234,5,20,2010,227,236
156,95,248,8,21,2012,211,258
156,95,214,8,21,2011,211,258
155,95,34,6,23,2010,211,258
152,240,57,5,23,2011,190,162
152,240,57,5,22,2011,190,162
152,240,57,6,17,2011,271,251
152,240,57,5,23,2011,190,162
152,240,57,5,19,2011,271,251
152,240,57,5,22,2011,190,162
152,240,57,5,22,2011,190,162
193,226,186,5,29,2012,120,112
193,226,186,5,29,2012,120,112
193,226,160,5,28,2011,120,112
193,226,160,5,28,2011,120,112
58,66,54,5,22,2010,177,161
195,66,54,5,21,2010,177,161
195,66,54,5,22,2010,177,161
195,66,54,5,21,2010,177,161
195,66,54,5,22,2010,190,162
195,66,54,5,21,2010,190,162
195,66,54,5,22,2010,190,162
195,66,54,5,21,2010,190,162
195,71,54,5,19,2010,271,254
206,155,57,6,20,2011,268,248
206,155,57,6,20,2011,268,248
35,150,57,7,18,2009,332,270
35,150,57,7,18,2009,332,270
35,150,57,6,18,2009,332,270
35,150,57,6,18,2009,332,270
205,155,57,6,19,2010,268,248
206,155,57,6,19,2010,268,248
206,155,57,6,19,2010,268,248
191,198,29,6,22,2011,169,167
191,198,29,6,22,2011,169,167
191,198,29,6,22,2011,169,167
191,198,29,6,22,2011,169,167
191,198,29,6,20,2011,268,248
186,198,29,6,22,2011,179,171
186,198,29,6,22,2011,179,171
186,198,29,6,20,2011,268,248
191,198,29,6,22,2011,169,167
191,198,29,6,20,2011,268,248
185,181,31,5,26,2012,160,146
185,181,31,5,26,2012,160,146
208,93,186,5,25,2011,140,136
208,93,186,4,25,2011,140,136
208,93,186,5,25,2011,140,136
208,93,186,4,25,2011,140,136
208,93,186,5,25,2011,140,136
208,93,186,4,25,2011,140,136
208,93,186,4,25,2011,140,136
208,93,186,5,24,2010,140,136
208,93,186,4,24,2010,140,136
208,93,186,5,24,2010,140,136
208,93,186,4,24,2010,140,136
208,93,186,5,24,2010,140,136
208,93,186,4,24,2010,140,136
208,93,186,5,24,2010,140,136
208,93,186,4,24,2010,140,136
139,242,3,6,23,2011,175,180
139,242,3,6,18,2011,270,258
213,243,69,6,18,2012,300,325
213,243,69,6,20,2012,240,236
175,19,97,6,17,2012,325,354
175,19,97,6,19,2012,240,236
175,19,97,6,17,2012,300,325
66,230,69,6,17,2012,300,325
66,230,69,6,19,2012,240,236
247,200,105,6,16,2012,240,236
247,200,105,6,16,2012,240,236
139,242,3,6,23,2010,175,180
139,242,3,6,18,2010,270,258
191,197,29,6,22,2010,169,167
191,198,29,6,22,2010,169,167
191,198,29,6,22,2010,169,167
191,198,29,6,22,2010,169,167
191,198,29,6,19,2010,268,248
186,198,29,6,22,2010,179,171
186,198,29,6,22,2010,179,171
186,198,29,6,19,2010,268,248
191,216,29,6,22,2010,169,167
191,198,29,6,19,2010,268,248
247,200,105,6,15,2010,235,236
247,200,105,6,16,2011,240,236
175,19,97,6,16,2010,281,295
175,19,97,6,17,2011,300,325
175,19,97,6,18,2011,240,236
193,169,234,5,20,2010,227,236
218,169,234,5,21,2011,227,236
124,198,152,6,8,2012,567,516
109,195,123,6,10,2010,552,479
99,195,123,6,10,2010,600,553
208,93,188,5,24,2010,140,136
208,93,188,4,24,2010,140,136
208,93,188,5,24,2010,140,136
208,93,188,4,24,2010,140,136
109,195,135,6,11,2011,600,553
109,195,125,6,10,2010,600,553
117,195,135,6,10,2010,552,479
210,34,107,6,9,2010,500,738
186,220,227,5,28,2011,132,128
186,220,227,4,26,2011,132,128
186,220,227,4,26,2011,132,128
186,202,227,5,28,2011,132,128
186,202,227,4,26,2011,132,128
13,24,156,8,13,2010,563,575
101,14,227,8,21,2011,211,258
103,17,228,6,20,2010,211,258
102,202,196,6,11,2010,453,531
104,202,196,6,11,2010,453,531
92,17,189,6,21,2012,211,258
92,17,189,8,21,2012,211,258
61,234,194,6,11,2010,453,531
92,17,189,8,21,2011,211,258
92,17,189,6,21,2011,211,258
92,17,62,6,22,2010,211,258
92,17,62,6,18,2010,265,243
92,17,62,6,21,2010,211,258
43,232,194,6,11,2010,453,531
13,24,156,8,13,2011,563,575
195,71,54,5,19,2010,271,254
102,207,196,6,11,2011,453,531
195,86,54,5,23,2011,177,161
195,86,54,5,23,2011,177,161
195,86,54,5,23,2011,177,161
195,86,54,5,23,2011,177,161
195,86,54,5,23,2011,190,162
195,86,54,5,23,2011,190,162
195,86,54,5,20,2011,271,254
195,86,54,5,23,2011,190,162
195,86,54,5,20,2011,271,254
102,202,196,6,11,2011,453,531
61,234,194,6,11,2011,453,531
43,232,194,6,11,2011,453,531
172,19,242,5,23,2011,170,177
172,19,242,6,24,2011,170,177
172,19,242,6,23,2011,115,125
172,19,242,6,23,2011,115,125
172,19,242,6,24,2011,170,177
172,19,242,6,24,2011,170,177
172,19,242,5,24,2011,115,125
172,19,242,6,24,2011,170,177
172,19,242,5,23,2011,170,177
172,19,242,5,23,2011,170,177
172,19,242,5,23,2011,170,177
172,19,242,5,24,2011,115,125
186,187,224,5,26,2010,132,128
186,187,224,4,26,2010,132,128
186,187,224,5,26,2010,132,128
186,187,224,4,26,2010,132,128
186,187,224,4,26,2010,132,128
186,187,224,4,26,2010,132,128
186,187,224,5,22,2010,158,162
186,187,224,5,22,2010,158,162
19,63,113,5,17,2011,260,271
37,63,113,6,15,2011,260,271
37,63,113,5,17,2011,260,271
188,61,82,8,19,2012,310,325
179,63,237,6,18,2011,300,310
177,202,244,6,23,2010,170,177
177,202,244,6,23,2010,170,177
177,202,244,6,23,2010,170,177
177,202,244,5,22,2010,170,177
177,202,244,5,22,2010,170,177
177,202,244,6,23,2010,170,177
177,202,244,6,23,2010,170,177
177,202,244,5,22,2010,170,177
177,202,244,6,23,2010,170,177
177,202,244,5,22,2010,170,177
177,202,244,5,22,2010,170,177
177,202,244,6,21,2010,200,207
177,202,244,6,21,2010,200,207
177,202,244,6,30,2010,140,236
177,202,244,6,23,2010,170,177
177,202,244,6,23,2010,170,177
177,202,244,6,30,2010,140,236
19,63,113,5,17,2010,260,271
37,63,113,6,15,2010,260,271
37,63,113,5,17,2010,260,271
194,177,118,6,20,2011,187,186
194,177,118,6,20,2011,270,248
194,177,118,5,17,2011,270,248
224,177,118,6,20,2011,187,186
224,177,118,5,18,2011,270,248
224,177,118,5,17,2011,270,248
224,177,118,5,18,2011,270,248
224,177,118,5,17,2011,270,248
194,177,118,6,20,2010,187,186
194,177,118,5,18,2010,270,248
194,177,118,5,17,2010,270,248
224,177,118,5,18,2010,270,248
224,177,118,5,17,2010,270,248
224,177,118,5,18,2010,270,248
224,177,118,5,17,2010,270,248
224,177,118,5,18,2010,270,248
224,177,118,5,17,2010,270,248
132,134,105,5,18,2011,271,254
132,134,105,5,18,2011,271,254
132,134,105,5,18,2011,271,254
88,87,179,6,13,2011,381,401
88,87,179,6,13,2010,381,401
13,14,229,5,26,2011,132,128
13,14,229,4,25,2011,132,128
13,14,229,5,21,2011,158,162
13,14,229,5,21,2011,158,162
24,14,229,4,20,2011,158,162
38,95,189,5,10,2010,631,738
38,95,189,5,10,2010,543,664
1,95,189,5,10,2010,604,738
38,95,189,5,10,2011,631,738
1,95,189,5,10,2011,620,738
38,20,189,5,10,2010,543,664
38,20,189,5,10,2010,604,738
38,20,189,5,10,2010,631,738
38,20,189,5,10,2011,620,738
38,20,189,5,10,2011,543,664
38,20,189,5,10,2009,604,738
38,20,189,5,10,2010,604,738
38,20,189,5,10,2011,620,738
13,14,229,5,26,2010,132,128
13,14,229,4,25,2010,132,128
13,42,229,5,21,2010,158,162
13,42,229,5,21,2010,158,162
24,42,229,4,20,2010,158,162
23,42,229,5,21,2010,158,162
23,42,229,5,21,2010,158,162
13,14,229,4,25,2010,132,128
189,155,222,5,12,2011,317,385
189,155,222,5,12,2011,317,385
189,155,222,5,12,2011,317,385
168,155,222,5,13,2011,317,385
168,155,222,5,12,2011,317,385
168,155,222,5,12,2011,317,385
223,204,244,5,23,2011,170,177
223,204,244,6,24,2011,170,177
223,204,244,5,23,2011,170,177
223,204,244,6,24,2011,170,177
223,204,244,6,24,2011,170,177
223,204,244,6,24,2011,170,177
223,204,244,6,30,2011,140,236
226,214,173,5,27,2011,108,105
226,214,173,5,27,2011,108,105
226,214,173,4,25,2011,108,105
226,214,173,5,27,2011,108,105
226,214,173,4,25,2011,108,105
137,215,62,6,21,2010,200,207
137,190,62,6,21,2010,200,207
137,190,62,6,18,2010,280,265
137,190,62,6,17,2010,280,265
179,52,237,6,16,2011,350,325
179,52,220,6,18,2010,300,310
226,79,142,5,27,2011,108,105
226,79,142,5,27,2011,108,105
226,79,142,4,25,2011,108,105
226,79,142,5,27,2011,108,105
226,79,142,4,25,2011,108,105
179,52,220,6,16,2010,350,325
198,69,220,6,18,2011,300,310
198,69,220,6,18,2010,300,310
140,105,91,8,18,2012,310,325
180,17,63,8,17,2011,372,328
191,147,63,8,17,2011,372,328
189,155,222,5,12,2010,317,385
189,155,222,5,12,2010,317,385
168,155,222,5,12,2010,317,385
168,155,222,5,12,2010,317,385
168,155,222,5,12,2010,317,385
189,155,222,5,12,2010,317,385
164,198,236,6,16,2010,350,325
164,198,236,6,16,2010,350,325
115,140,158,6,25,2011,122,127
115,140,158,6,25,2011,122,127
115,140,158,6,25,2010,122,127
115,140,158,6,25,2010,122,127
117,21,41,8,20,2012,211,258
117,21,41,6,18,2012,270,243
117,21,41,8,20,2011,211,258
117,21,41,6,18,2011,270,243
135,134,105,5,18,2010,271,254
135,134,105,5,18,2010,271,254
135,134,105,5,17,2010,271,254
117,21,41,6,18,2010,270,243
117,20,88,6,18,2009,270,243
117,105,214,5,26,2011,140,128
117,105,214,5,25,2011,140,128
117,105,214,5,26,2011,140,128
117,105,214,5,25,2011,140,128
117,105,214,5,26,2011,140,128
117,105,214,5,25,2011,140,128
117,105,214,5,25,2011,140,128
117,105,214,6,21,2011,197,139
201,225,129,8,16,2012,333,325
201,225,129,8,16,2012,280,295
201,225,129,8,17,2012,225,406
141,249,107,6,12,2010,550,398
226,79,142,5,27,2010,108,105
226,79,142,5,27,2010,108,105
226,79,142,4,25,2010,108,105
226,79,142,5,27,2010,108,105
226,79,142,4,25,2010,108,105
195,195,82,8,16,2010,380,367
195,196,83,8,16,2010,357,344
195,60,83,8,16,2010,380,367
195,60,83,8,16,2010,357,344
141,249,107,6,12,2011,560,398
159,249,107,6,12,2011,560,398
170,18,163,6,30,2012,138,123
170,18,163,6,30,2012,138,123
170,18,163,6,30,2012,138,123
170,18,163,6,30,2012,138,123
195,196,83,8,16,2011,380,367
195,196,83,8,16,2011,357,344
195,60,83,8,16,2011,380,367
195,60,83,8,16,2011,357,344
190,206,158,4,27,2011,110,106
190,206,158,5,28,2011,110,106
190,206,158,5,28,2011,110,106
190,206,158,5,28,2011,110,106
190,206,158,4,27,2011,110,106
190,206,158,5,28,2010,110,106
190,206,158,4,27,2010,110,106
190,206,158,5,28,2010,110,106
190,206,158,4,27,2010,110,106
190,206,158,5,27,2010,110,106
170,16,163,6,30,2012,138,123
170,16,163,6,30,2012,138,123
190,183,158,4,27,2011,110,106
190,183,158,5,28,2011,110,106
190,183,158,5,28,2010,110,106
190,183,158,4,27,2010,110,106
210,45,57,6,20,2011,260,233
210,45,57,6,19,2011,283,263
210,30,57,5,17,2010,263,257
210,30,57,5,18,2010,234,226
201,225,129,8,16,2011,333,325
201,225,129,8,16,2011,272,295
201,225,129,8,17,2011,225,406
201,223,191,6,14,2010,280,266
201,223,191,6,17,2010,225,406
201,223,191,6,13,2010,350,325
148,12,24,4,22,2011,179,172
148,12,24,4,21,2011,179,172
148,12,24,5,19,2011,269,246
148,12,24,5,19,2011,269,246
148,12,62,4,22,2011,179,172
148,12,62,4,21,2011,179,172
148,12,62,5,19,2011,269,246
148,12,62,5,19,2011,269,246
208,12,62,4,22,2011,179,172
208,12,62,4,21,2011,179,172
208,12,62,5,19,2011,269,246
208,12,62,5,19,2011,269,246
115,140,158,6,24,2009,122,127
115,140,158,6,24,2009,122,127
172,123,234,5,21,2011,227,236
109,228,125,6,17,2012,323,278
109,228,125,6,19,2012,323,278
109,228,125,6,17,2012,323,278
109,228,125,6,19,2012,323,278
109,228,125,6,16,2012,426,420
109,228,125,6,15,2012,426,420
109,228,125,6,16,2012,426,420
109,228,125,6,15,2012,426,420
33,28,229,6,24,2011,188,177
33,28,229,6,24,2011,188,177
109,228,125,6,17,2011,312,278
109,228,125,6,19,2011,312,278
109,228,125,6,17,2011,312,278
109,228,125,6,19,2011,312,278
109,228,125,6,16,2011,426,420
109,228,125,6,15,2011,426,420
109,228,125,6,16,2011,426,420
109,228,125,6,16,2011,426,420
150,22,234,6,18,2010,228,221
150,22,234,7,18,2010,228,221
150,22,234,7,17,2010,268,258
132,9,211,6,18,2010,230,200
132,9,211,6,17,2010,300,300
132,9,211,6,17,2010,300,300
132,9,211,6,18,2010,230,200
96,228,125,6,17,2012,323,278
96,228,125,6,19,2012,323,278
96,228,125,6,17,2012,323,278
96,228,125,6,19,2012,323,278
96,228,125,6,16,2012,426,420
96,228,125,6,15,2012,426,420
96,228,125,6,16,2012,426,420
96,228,125,6,15,2012,426,420
96,228,125,6,17,2012,323,278
96,228,125,6,18,2012,323,278
150,22,234,7,13,2010,228,221
165,22,234,7,18,2010,228,221
155,176,239,6,29,2012,145,130
155,176,239,6,29,2012,148,131
155,176,239,6,29,2012,148,131
155,176,239,6,29,2012,145,130
155,176,239,6,29,2012,148,131
155,176,239,6,29,2011,148,131
155,176,239,6,29,2011,148,131
155,176,239,6,29,2011,145,130
155,176,239,6,29,2011,148,131
155,176,239,6,29,2011,145,130
200,153,239,4,26,2010,138,136
200,153,239,4,26,2010,132,133
200,153,239,5,25,2010,138,136
200,153,239,4,26,2010,132,133
200,153,239,4,26,2010,138,136
162,233,41,6,22,2012,175,172
162,233,41,6,23,2012,175,172
162,233,41,6,23,2012,175,172
162,233,41,6,20,2012,240,223
162,233,41,6,23,2012,175,172
162,233,41,6,20,2012,240,223
162,233,41,6,13,2012,240,223
162,233,41,6,18,2012,263,249
162,233,41,6,17,2012,263,249
137,190,62,6,21,2011,200,207
137,190,62,6,21,2011,200,207
137,190,62,6,22,2011,280,265
165,233,41,6,22,2011,175,172
165,233,41,6,23,2011,175,172
165,233,41,6,22,2011,175,172
165,233,41,6,23,2011,175,172
165,233,41,6,14,2011,240,228
165,233,41,6,13,2011,240,228
165,233,41,6,18,2011,263,249
165,233,41,6,17,2011,263,249
165,233,41,6,14,2011,240,228
165,233,41,6,23,2011,175,172
165,233,41,6,22,2010,175,172
165,233,41,6,23,2010,175,172
165,233,41,6,22,2010,175,172
165,233,41,6,19,2010,240,228
165,233,41,6,22,2010,175,172
165,233,41,6,13,2010,240,228
165,233,41,6,13,2010,240,228
165,233,41,6,18,2010,263,249
165,233,41,6,17,2010,263,249
165,233,41,6,22,2010,175,172
180,176,239,6,25,2011,156,144
180,176,239,6,26,2011,156,144
180,176,239,6,26,2011,156,144
180,176,239,6,23,2011,173,168
201,221,191,6,17,2009,225,406
180,244,239,6,25,2011,156,144
180,244,239,6,26,2011,156,144
180,244,239,6,22,2011,173,168
180,244,239,6,23,2011,173,168
119,128,229,6,24,2011,156,144
119,128,229,6,25,2011,156,144
119,128,229,6,22,2011,173,168
119,128,229,6,23,2011,173,168
228,82,138,6,11,2011,420,317
228,82,138,6,12,2011,525,391
180,176,239,5,25,2010,156,144
180,176,239,4,25,2010,156,144
180,176,239,5,25,2010,156,144
180,176,239,4,25,2010,156,144
180,176,239,5,27,2010,156,144
180,176,239,6,22,2010,173,168
180,176,239,5,23,2010,173,168
228,79,237,6,11,2012,430,316
228,83,237,6,12,2012,525,391
238,133,229,4,23,2012,138,136
238,133,229,5,23,2012,138,136
238,133,229,5,23,2012,138,136
238,133,229,4,23,2012,138,136
238,123,229,5,23,2011,138,136
238,123,229,4,23,2011,138,136
238,123,229,4,23,2011,138,136
238,123,229,5,23,2011,138,136
238,123,229,5,23,2010,138,136
238,123,229,4,23,2010,138,136
238,123,229,5,23,2010,138,136
238,123,229,4,23,2010,138,136
238,123,229,5,23,2009,138,136
238,123,229,4,23,2009,138,136
210,38,97,6,16,2011,385,333
210,38,97,6,16,2011,385,333
200,122,97,8,17,2012,385,333
195,122,97,8,19,2012,333,291
200,122,97,8,17,2012,429,376
119,128,229,5,25,2010,156,144
119,128,229,4,25,2010,156,144
119,128,229,6,22,2010,173,168
119,128,229,5,23,2010,173,168
175,235,39,6,24,2011,200,186
175,235,39,6,24,2011,200,186
175,235,39,6,24,2011,200,186
175,235,39,6,22,2011,274,269
175,235,39,6,22,2011,274,269
117,105,214,5,26,2010,140,128
117,105,214,5,25,2010,140,128
117,105,214,5,26,2010,140,128
117,105,214,5,25,2010,140,128
117,105,214,5,26,2010,140,128
117,105,214,5,25,2010,140,128
117,105,214,5,26,2010,140,128
117,105,214,5,25,2010,140,128
117,105,214,6,21,2010,197,139
170,235,39,6,36,2011,166,154
200,192,13,5,22,2010,175,169
200,192,13,5,22,2010,175,169
200,192,13,5,22,2010,175,169
200,192,13,5,20,2010,194,184
200,192,13,5,22,2010,175,169
200,192,13,5,20,2010,194,184
190,143,158,5,28,2011,110,107
190,143,158,4,27,2011,110,107
190,143,158,4,27,2011,110,107
195,111,97,6,18,2011,290,264
200,111,97,6,17,2011,385,333
200,111,97,6,17,2010,368,324
195,111,97,6,18,2010,290,264
104,22,72,6,21,2012,210,223
104,22,72,6,17,2012,306,266
104,22,72,6,17,2012,306,266
104,22,72,6,21,2012,210,223
104,22,72,5,20,2012,210,223
104,22,72,6,17,2012,306,266
104,22,72,6,17,2012,306,266
104,22,72,5,20,2012,210,223
104,22,72,5,20,2011,210,223
104,22,72,6,21,2011,210,223
104,22,72,5,20,2011,210,223
104,22,72,6,17,2011,306,266
104,22,72,6,17,2011,306,266
104,22,72,6,21,2011,210,223
104,22,72,6,17,2011,306,266
104,22,72,6,17,2011,306,266
104,22,72,6,21,2010,210,223
104,22,72,6,17,2010,306,266
104,22,72,6,17,2010,306,266
104,22,72,6,21,2010,210,223
104,22,72,5,20,2010,210,223
104,22,72,6,21,2010,210,223
104,22,72,6,17,2010,306,266
104,22,72,6,17,2010,306,266
104,22,72,6,17,2010,306,266
104,22,72,5,20,2010,210,223
104,22,72,6,17,2010,306,266
104,22,72,6,21,2010,210,223
157,118,3,7,12,2010,451,443
188,115,242,6,21,2010,200,207
188,115,242,6,21,2011,200,207
137,169,85,6,19,2012,305,280
137,169,85,6,19,2012,305,280
137,169,85,6,19,2012,305,280
137,169,85,6,19,2012,305,280
137,169,85,6,17,2012,412,390
137,169,85,6,18,2012,412,390
137,169,85,6,17,2012,412,390
137,169,85,6,18,2012,412,390
119,169,85,6,17,2012,444,380
165,22,234,7,18,2010,228,221
137,169,85,6,19,2012,305,280
137,169,85,6,19,2012,305,280
137,169,85,6,19,2012,305,280
137,169,85,6,19,2012,305,280
137,169,85,6,19,2012,412,390
137,169,85,6,18,2012,412,390
137,169,85,6,19,2012,412,390
137,169,85,6,18,2012,412,390
144,169,85,6,19,2011,305,280
144,169,85,6,19,2011,305,280
144,169,85,6,19,2011,305,280
144,169,85,6,19,2011,305,280
137,169,85,6,17,2011,412,390
137,169,85,6,18,2011,412,390
137,169,85,6,17,2011,412,390
137,169,85,6,18,2011,412,390
144,169,85,6,19,2011,305,280
144,169,85,6,19,2011,305,280
144,169,85,6,19,2011,305,280
144,169,85,6,19,2011,305,280
137,169,85,6,17,2011,412,390
137,169,85,6,18,2011,412,390
137,169,85,6,17,2011,412,390
137,169,85,6,18,2011,412,390
150,22,234,6,18,2011,228,221
157,118,3,7,13,2011,451,443
165,22,234,7,18,2011,228,221
165,22,234,7,18,2011,228,221
150,22,234,7,17,2011,268,258
150,22,234,7,13,2011,228,221
190,175,158,4,27,2011,110,107
190,175,158,4,27,2011,110,107
190,185,158,5,28,2010,110,107
190,185,158,4,27,2010,110,107
190,185,158,5,28,2010,110,107
190,185,158,4,27,2010,110,107
188,115,242,6,21,2011,200,207
190,153,158,5,28,2010,110,107
190,153,158,5,28,2010,110,107
190,153,158,4,27,2010,110,107
190,153,158,5,28,2010,110,107
190,153,158,4,27,2010,110,107
74,8,249,5,26,2011,122,115
74,8,249,5,24,2011,142,137
74,8,249,4,24,2011,142,137
74,8,249,4,24,2011,142,137
74,8,249,4,24,2011,142,137
96,228,125,6,17,2011,312,278
96,228,125,6,19,2011,312,278
96,228,125,6,18,2011,312,278
96,228,125,6,17,2011,312,278
96,228,125,6,19,2011,312,278
96,228,125,6,17,2011,312,278
96,228,125,6,19,2011,312,278
96,228,125,6,16,2011,426,420
96,228,125,6,16,2011,426,420
96,228,125,6,16,2011,426,420
96,228,125,6,16,2011,426,420
132,169,85,5,18,2010,210,240
132,169,85,5,16,2010,210,240
132,169,85,5,18,2010,210,240
132,169,85,5,16,2010,210,240
132,169,85,5,16,2010,315,325
132,169,85,5,17,2010,315,325
132,169,85,5,16,2010,315,325
132,169,85,5,17,2010,315,325
74,8,249,5,26,2010,122,115
74,8,249,5,24,2010,142,137
74,8,249,4,24,2010,142,137
74,8,249,5,24,2010,142,137
74,8,249,4,24,2010,142,137
74,8,249,5,24,2010,142,137
74,8,249,4,24,2010,142,137
144,169,85,5,18,2010,210,240
144,169,85,5,16,2010,210,240
144,169,85,5,18,2010,210,240
144,169,85,5,16,2010,210,240
144,169,85,5,16,2010,315,325
144,169,85,5,17,2010,315,325
144,169,85,5,16,2010,315,325
144,169,85,5,17,2010,315,325
228,83,138,6,12,2010,525,391
228,79,112,6,12,2010,420,317
224,10,191,6,18,2012,271,248
239,10,191,6,18,2012,271,248
127,172,85,6,15,2012,550,510
119,172,85,6,15,2012,550,510
139,172,85,6,15,2011,550,510
104,172,85,6,15,2011,550,510
104,172,85,6,15,2010,550,510
139,172,85,6,14,2010,550,510
24,10,191,6,18,2011,271,248
36,10,191,6,18,2011,271,248
224,202,191,5,17,2010,244,253
224,10,191,5,17,2010,244,253
224,10,191,5,17,2010,244,253
220,79,113,6,11,2011,420,317
188,115,242,6,21,2010,200,207
220,83,113,6,12,2011,525,391
173,63,92,6,20,2012,175,169
173,63,92,6,21,2012,175,169
173,63,92,6,21,2012,175,169
173,63,92,6,20,2012,276,248
173,63,92,6,18,2012,276,248
173,63,92,6,22,2012,191,181
173,63,92,6,21,2012,191,181
173,63,92,6,20,2012,276,248
173,63,92,6,18,2012,276,248
163,63,92,6,20,2012,276,248
163,63,92,6,18,2012,276,248
126,109,248,6,18,2012,333,325
