mpg,Length,Width,Number of Forward Gears,Year,Car Height,Horsepower,Torque,
24,19,242,6,2011,172,170,177,
24,19,242,6,2011,172,170,177,
24,19,242,5,2011,172,115,125,
24,19,242,6,2011,172,170,177,
23,19,242,5,2011,172,170,177,
23,19,242,5,2011,172,170,177,
23,19,242,5,2011,172,170,177,
24,19,242,5,2011,172,115,125,
26,187,224,5,2010,186,132,128,
26,187,224,4,2010,186,132,128,
26,187,224,5,2010,186,132,128,
26,187,224,4,2010,186,132,128,
26,187,224,4,2010,186,132,128,
26,187,224,4,2010,186,132,128,
22,187,224,5,2010,186,158,162,
22,187,224,5,2010,186,158,162,
17,63,113,5,2011,19,260,271,
15,63,113,6,2011,37,260,271,
17,63,113,5,2011,37,260,271,
19,61,82,8,2012,188,310,325,
18,63,237,6,2011,179,300,310,
23,202,244,6,2010,177,170,177,
23,202,244,6,2010,177,170,177,
23,202,244,6,2010,177,170,177,
22,202,244,5,2010,177,170,177,
22,202,244,5,2010,177,170,177,
23,202,244,6,2010,177,170,177,
23,202,244,6,2010,177,170,177,
22,202,244,5,2010,177,170,177,
23,202,244,6,2010,177,170,177,
22,202,244,5,2010,177,170,177,
22,202,244,5,2010,177,170,177,
21,202,244,6,2010,177,200,207,
21,202,244,6,2010,177,200,207,
30,202,244,6,2010,177,140,236,
23,202,244,6,2010,177,170,177,
23,202,244,6,2010,177,170,177,
30,202,244,6,2010,177,140,236,
17,63,113,5,2010,19,260,271,
15,63,113,6,2010,37,260,271,
17,63,113,5,2010,37,260,271,
20,177,118,6,2011,194,187,186,
20,177,118,6,2011,194,270,248,
17,177,118,5,2011,194,270,248,
20,177,118,6,2011,224,187,186,
18,177,118,5,2011,224,270,248,
17,177,118,5,2011,224,270,248,
18,177,118,5,2011,224,270,248,
17,177,118,5,2011,224,270,248,
20,177,118,6,2010,194,187,186,
18,177,118,5,2010,194,270,248,
17,177,118,5,2010,194,270,248,
18,177,118,5,2010,224,270,248,
17,177,118,5,2010,224,270,248,
18,177,118,5,2010,224,270,248,
17,177,118,5,2010,224,270,248,
18,177,118,5,2010,224,270,248,
17,177,118,5,2010,224,270,248,
18,134,105,5,2011,132,271,254,
18,134,105,5,2011,132,271,254,
18,134,105,5,2011,132,271,254,
13,87,179,6,2011,88,381,401,
13,87,179,6,2010,88,381,401,
26,14,229,5,2011,13,132,128,
25,14,229,4,2011,13,132,128,
21,14,229,5,2011,13,158,162,
21,14,229,5,2011,13,158,162,
20,14,229,4,2011,24,158,162,
10,95,189,5,2010,38,631,738,
10,95,189,5,2010,38,543,664,
10,95,189,5,2010,1,604,738,
10,95,189,5,2011,38,631,738,
10,95,189,5,2011,1,620,738,
10,20,189,5,2010,38,543,664,
10,20,189,5,2010,38,604,738,
10,20,189,5,2010,38,631,738,
10,20,189,5,2011,38,620,738,
10,20,189,5,2011,38,543,664,
10,20,189,5,2009,38,604,738,
10,20,189,5,2010,38,604,738,
10,20,189,5,2011,38,620,738,
26,14,229,5,2010,13,132,128,
25,14,229,4,2010,13,132,128,
21,42,229,5,2010,13,158,162,
21,42,229,5,2010,13,158,162,
20,42,229,4,2010,24,158,162,
21,42,229,5,2010,23,158,162,
21,42,229,5,2010,23,158,162,
25,14,229,4,2010,13,132,128,
12,155,222,5,2011,189,317,385,
12,155,222,5,2011,189,317,385,
12,155,222,5,2011,189,317,385,
13,155,222,5,2011,168,317,385,
12,155,222,5,2011,168,317,385,
12,155,222,5,2011,168,317,385,
23,204,244,5,2011,223,170,177,
24,204,244,6,2011,223,170,177,
23,204,244,5,2011,223,170,177,
24,204,244,6,2011,223,170,177,
24,204,244,6,2011,223,170,177,
24,204,244,6,2011,223,170,177,
30,204,244,6,2011,223,140,236,
27,214,173,5,2011,226,108,105,
27,214,173,5,2011,226,108,105,
25,214,173,4,2011,226,108,105,
27,214,173,5,2011,226,108,105,
25,214,173,4,2011,226,108,105,
21,215,62,6,2010,137,200,207,
21,190,62,6,2010,137,200,207,
18,190,62,6,2010,137,280,265,
17,190,62,6,2010,137,280,265,
16,52,237,6,2011,179,350,325,
18,52,220,6,2010,179,300,310,
27,79,142,5,2011,226,108,105,
27,79,142,5,2011,226,108,105,
25,79,142,4,2011,226,108,105,
27,79,142,5,2011,226,108,105,
25,79,142,4,2011,226,108,105,
16,52,220,6,2010,179,350,325,
18,69,220,6,2011,198,300,310,
18,69,220,6,2010,198,300,310,
18,105,91,8,2012,140,310,325,
17,17,63,8,2011,180,372,328,
17,147,63,8,2011,191,372,328,
12,155,222,5,2010,189,317,385,
12,155,222,5,2010,189,317,385,
12,155,222,5,2010,168,317,385,
12,155,222,5,2010,168,317,385,
12,155,222,5,2010,168,317,385,
12,155,222,5,2010,189,317,385,
16,198,236,6,2010,164,350,325,
16,198,236,6,2010,164,350,325,
25,140,158,6,2011,115,122,127,
25,140,158,6,2011,115,122,127,
25,140,158,6,2010,115,122,127,
25,140,158,6,2010,115,122,127,
20,21,41,8,2012,117,211,258,
18,21,41,6,2012,117,270,243,
20,21,41,8,2011,117,211,258,
18,21,41,6,2011,117,270,243,
18,134,105,5,2010,135,271,254,
18,134,105,5,2010,135,271,254,
17,134,105,5,2010,135,271,254,
18,21,41,6,2010,117,270,243,
18,20,88,6,2009,117,270,243,
26,105,214,5,2011,117,140,128,
25,105,214,5,2011,117,140,128,
26,105,214,5,2011,117,140,128,
25,105,214,5,2011,117,140,128,
26,105,214,5,2011,117,140,128,
25,105,214,5,2011,117,140,128,
25,105,214,5,2011,117,140,128,
21,105,214,6,2011,117,197,139,
16,225,129,8,2012,201,333,325,
16,225,129,8,2012,201,280,295,
17,225,129,8,2012,201,225,406,
12,249,107,6,2010,141,550,398,
27,79,142,5,2010,226,108,105,
27,79,142,5,2010,226,108,105,
25,79,142,4,2010,226,108,105,
27,79,142,5,2010,226,108,105,
25,79,142,4,2010,226,108,105,
16,195,82,8,2010,195,380,367,
16,196,83,8,2010,195,357,344,
16,60,83,8,2010,195,380,367,
16,60,83,8,2010,195,357,344,
12,249,107,6,2011,141,560,398,
12,249,107,6,2011,159,560,398,
30,18,163,6,2012,170,138,123,
30,18,163,6,2012,170,138,123,
30,18,163,6,2012,170,138,123,
30,18,163,6,2012,170,138,123,
16,196,83,8,2011,195,380,367,
16,196,83,8,2011,195,357,344,
16,60,83,8,2011,195,380,367,
16,60,83,8,2011,195,357,344,
27,206,158,4,2011,190,110,106,
28,206,158,5,2011,190,110,106,
28,206,158,5,2011,190,110,106,
28,206,158,5,2011,190,110,106,
27,206,158,4,2011,190,110,106,
28,206,158,5,2010,190,110,106,
27,206,158,4,2010,190,110,106,
28,206,158,5,2010,190,110,106,
27,206,158,4,2010,190,110,106,
27,206,158,5,2010,190,110,106,
30,16,163,6,2012,170,138,123,
30,16,163,6,2012,170,138,123,
27,183,158,4,2011,190,110,106,
28,183,158,5,2011,190,110,106,
28,183,158,5,2010,190,110,106,
27,183,158,4,2010,190,110,106,
20,45,57,6,2011,210,260,233,
19,45,57,6,2011,210,283,263,
17,30,57,5,2010,210,263,257,
18,30,57,5,2010,210,234,226,
16,225,129,8,2011,201,333,325,
16,225,129,8,2011,201,272,295,
17,225,129,8,2011,201,225,406,
14,223,191,6,2010,201,280,266,
17,223,191,6,2010,201,225,406,
13,223,191,6,2010,201,350,325,
22,12,24,4,2011,148,179,172,
21,12,24,4,2011,148,179,172,
19,12,24,5,2011,148,269,246,
19,12,24,5,2011,148,269,246,
22,12,62,4,2011,148,179,172,
21,12,62,4,2011,148,179,172,
19,12,62,5,2011,148,269,246,
19,12,62,5,2011,148,269,246,
22,12,62,4,2011,208,179,172,
21,12,62,4,2011,208,179,172,
19,12,62,5,2011,208,269,246,
19,12,62,5,2011,208,269,246,
24,140,158,6,2009,115,122,127,
24,140,158,6,2009,115,122,127,
21,123,234,5,2011,172,227,236,
17,228,125,6,2012,109,323,278,
19,228,125,6,2012,109,323,278,
17,228,125,6,2012,109,323,278,
19,228,125,6,2012,109,323,278,
16,228,125,6,2012,109,426,420,
15,228,125,6,2012,109,426,420,
16,228,125,6,2012,109,426,420,
15,228,125,6,2012,109,426,420,
24,28,229,6,2011,33,188,177,
24,28,229,6,2011,33,188,177,
17,228,125,6,2011,109,312,278,
19,228,125,6,2011,109,312,278,
17,228,125,6,2011,109,312,278,
19,228,125,6,2011,109,312,278,
16,228,125,6,2011,109,426,420,
15,228,125,6,2011,109,426,420,
16,228,125,6,2011,109,426,420,
16,228,125,6,2011,109,426,420,
18,22,234,6,2010,150,228,221,
18,22,234,7,2010,150,228,221,
17,22,234,7,2010,150,268,258,
18,9,211,6,2010,132,230,200,
17,9,211,6,2010,132,300,300,
17,9,211,6,2010,132,300,300,
18,9,211,6,2010,132,230,200,
17,228,125,6,2012,96,323,278,
19,228,125,6,2012,96,323,278,
17,228,125,6,2012,96,323,278,
19,228,125,6,2012,96,323,278,
16,228,125,6,2012,96,426,420,
15,228,125,6,2012,96,426,420,
16,228,125,6,2012,96,426,420,
15,228,125,6,2012,96,426,420,
17,228,125,6,2012,96,323,278,
18,228,125,6,2012,96,323,278,
13,22,234,7,2010,150,228,221,
18,22,234,7,2010,165,228,221,
29,176,239,6,2012,155,145,130,
29,176,239,6,2012,155,148,131,
29,176,239,6,2012,155,148,131,
29,176,239,6,2012,155,145,130,
29,176,239,6,2012,155,148,131,
29,176,239,6,2011,155,148,131,
29,176,239,6,2011,155,148,131,
29,176,239,6,2011,155,145,130,
29,176,239,6,2011,155,148,131,
29,176,239,6,2011,155,145,130,
26,153,239,4,2010,200,138,136,
26,153,239,4,2010,200,132,133,
25,153,239,5,2010,200,138,136,
26,153,239,4,2010,200,132,133,
26,153,239,4,2010,200,138,136,
22,233,41,6,2012,162,175,172,
23,233,41,6,2012,162,175,172,
23,233,41,6,2012,162,175,172,
20,233,41,6,2012,162,240,223,
23,233,41,6,2012,162,175,172,
20,233,41,6,2012,162,240,223,
13,233,41,6,2012,162,240,223,
18,233,41,6,2012,162,263,249,
17,233,41,6,2012,162,263,249,
21,190,62,6,2011,137,200,207,
21,190,62,6,2011,137,200,207,
22,190,62,6,2011,137,280,265,
22,233,41,6,2011,165,175,172,
23,233,41,6,2011,165,175,172,
22,233,41,6,2011,165,175,172,
23,233,41,6,2011,165,175,172,
14,233,41,6,2011,165,240,228,
13,233,41,6,2011,165,240,228,
18,233,41,6,2011,165,263,249,
17,233,41,6,2011,165,263,249,
14,233,41,6,2011,165,240,228,
23,233,41,6,2011,165,175,172,
22,233,41,6,2010,165,175,172,
23,233,41,6,2010,165,175,172,
22,233,41,6,2010,165,175,172,
19,233,41,6,2010,165,240,228,
22,233,41,6,2010,165,175,172,
13,233,41,6,2010,165,240,228,
13,233,41,6,2010,165,240,228,
18,233,41,6,2010,165,263,249,
17,233,41,6,2010,165,263,249,
22,233,41,6,2010,165,175,172,
25,176,239,6,2011,180,156,144,
26,176,239,6,2011,180,156,144,
26,176,239,6,2011,180,156,144,
23,176,239,6,2011,180,173,168,
17,221,191,6,2009,201,225,406,
25,244,239,6,2011,180,156,144,
26,244,239,6,2011,180,156,144,
22,244,239,6,2011,180,173,168,
23,244,239,6,2011,180,173,168,
24,128,229,6,2011,119,156,144,
25,128,229,6,2011,119,156,144,
22,128,229,6,2011,119,173,168,
23,128,229,6,2011,119,173,168,
11,82,138,6,2011,228,420,317,
12,82,138,6,2011,228,525,391,
25,176,239,5,2010,180,156,144,
25,176,239,4,2010,180,156,144,
25,176,239,5,2010,180,156,144,
25,176,239,4,2010,180,156,144,
27,176,239,5,2010,180,156,144,
22,176,239,6,2010,180,173,168,
23,176,239,5,2010,180,173,168,
11,79,237,6,2012,228,430,316,
12,83,237,6,2012,228,525,391,
23,133,229,4,2012,238,138,136,
23,133,229,5,2012,238,138,136,
23,133,229,5,2012,238,138,136,
23,133,229,4,2012,238,138,136,
23,123,229,5,2011,238,138,136,
23,123,229,4,2011,238,138,136,
23,123,229,4,2011,238,138,136,
23,123,229,5,2011,238,138,136,
23,123,229,5,2010,238,138,136,
23,123,229,4,2010,238,138,136,
23,123,229,5,2010,238,138,136,
23,123,229,4,2010,238,138,136,
23,123,229,5,2009,238,138,136,
23,123,229,4,2009,238,138,136,
16,38,97,6,2011,210,385,333,
16,38,97,6,2011,210,385,333,
17,122,97,8,2012,200,385,333,
19,122,97,8,2012,195,333,291,
17,122,97,8,2012,200,429,376,
25,128,229,5,2010,119,156,144,
25,128,229,4,2010,119,156,144,
22,128,229,6,2010,119,173,168,
23,128,229,5,2010,119,173,168,
24,235,39,6,2011,175,200,186,
24,235,39,6,2011,175,200,186,
24,235,39,6,2011,175,200,186,
22,235,39,6,2011,175,274,269,
22,235,39,6,2011,175,274,269,
26,105,214,5,2010,117,140,128,
25,105,214,5,2010,117,140,128,
26,105,214,5,2010,117,140,128,
25,105,214,5,2010,117,140,128,
26,105,214,5,2010,117,140,128,
25,105,214,5,2010,117,140,128,
26,105,214,5,2010,117,140,128,
25,105,214,5,2010,117,140,128,
21,105,214,6,2010,117,197,139,
36,235,39,6,2011,170,166,154,
22,192,13,5,2010,200,175,169,
22,192,13,5,2010,200,175,169,
22,192,13,5,2010,200,175,169,
20,192,13,5,2010,200,194,184,
22,192,13,5,2010,200,175,169,
20,192,13,5,2010,200,194,184,
28,143,158,5,2011,190,110,107,
27,143,158,4,2011,190,110,107,
27,143,158,4,2011,190,110,107,
18,111,97,6,2011,195,290,264,
17,111,97,6,2011,200,385,333,
17,111,97,6,2010,200,368,324,
18,111,97,6,2010,195,290,264,
21,22,72,6,2012,104,210,223,
17,22,72,6,2012,104,306,266,
17,22,72,6,2012,104,306,266,
21,22,72,6,2012,104,210,223,
20,22,72,5,2012,104,210,223,
17,22,72,6,2012,104,306,266,
17,22,72,6,2012,104,306,266,
20,22,72,5,2012,104,210,223,
20,22,72,5,2011,104,210,223,
21,22,72,6,2011,104,210,223,
20,22,72,5,2011,104,210,223,
17,22,72,6,2011,104,306,266,
17,22,72,6,2011,104,306,266,
21,22,72,6,2011,104,210,223,
17,22,72,6,2011,104,306,266,
17,22,72,6,2011,104,306,266,
21,22,72,6,2010,104,210,223,
17,22,72,6,2010,104,306,266,
17,22,72,6,2010,104,306,266,
21,22,72,6,2010,104,210,223,
20,22,72,5,2010,104,210,223,
21,22,72,6,2010,104,210,223,
17,22,72,6,2010,104,306,266,
17,22,72,6,2010,104,306,266,
17,22,72,6,2010,104,306,266,
20,22,72,5,2010,104,210,223,
17,22,72,6,2010,104,306,266,
21,22,72,6,2010,104,210,223,
12,118,3,7,2010,157,451,443,
21,115,242,6,2010,188,200,207,
21,115,242,6,2011,188,200,207,
19,169,85,6,2012,137,305,280,
19,169,85,6,2012,137,305,280,
19,169,85,6,2012,137,305,280,
19,169,85,6,2012,137,305,280,
17,169,85,6,2012,137,412,390,
18,169,85,6,2012,137,412,390,
17,169,85,6,2012,137,412,390,
18,169,85,6,2012,137,412,390,
17,169,85,6,2012,119,444,380,
18,22,234,7,2010,165,228,221,
19,169,85,6,2012,137,305,280,
19,169,85,6,2012,137,305,280,
19,169,85,6,2012,137,305,280,
19,169,85,6,2012,137,305,280,
19,169,85,6,2012,137,412,390,
18,169,85,6,2012,137,412,390,
19,169,85,6,2012,137,412,390,
18,169,85,6,2012,137,412,390,
19,169,85,6,2011,144,305,280,
19,169,85,6,2011,144,305,280,
19,169,85,6,2011,144,305,280,
19,169,85,6,2011,144,305,280,
17,169,85,6,2011,137,412,390,
18,169,85,6,2011,137,412,390,
17,169,85,6,2011,137,412,390,
18,169,85,6,2011,137,412,390,
19,169,85,6,2011,144,305,280,
19,169,85,6,2011,144,305,280,
19,169,85,6,2011,144,305,280,
19,169,85,6,2011,144,305,280,
17,169,85,6,2011,137,412,390,
18,169,85,6,2011,137,412,390,
17,169,85,6,2011,137,412,390,
18,169,85,6,2011,137,412,390,
18,22,234,6,2011,150,228,221,
13,118,3,7,2011,157,451,443,
18,22,234,7,2011,165,228,221,
18,22,234,7,2011,165,228,221,
17,22,234,7,2011,150,268,258,
13,22,234,7,2011,150,228,221,
27,175,158,4,2011,190,110,107,
27,175,158,4,2011,190,110,107,
28,185,158,5,2010,190,110,107,
27,185,158,4,2010,190,110,107,
28,185,158,5,2010,190,110,107,
27,185,158,4,2010,190,110,107,
21,115,242,6,2011,188,200,207,
28,153,158,5,2010,190,110,107,
28,153,158,5,2010,190,110,107,
27,153,158,4,2010,190,110,107,
28,153,158,5,2010,190,110,107,
27,153,158,4,2010,190,110,107,
26,8,249,5,2011,74,122,115,
24,8,249,5,2011,74,142,137,
24,8,249,4,2011,74,142,137,
24,8,249,4,2011,74,142,137,
24,8,249,4,2011,74,142,137,
17,228,125,6,2011,96,312,278,
19,228,125,6,2011,96,312,278,
18,228,125,6,2011,96,312,278,
17,228,125,6,2011,96,312,278,
19,228,125,6,2011,96,312,278,
17,228,125,6,2011,96,312,278,
19,228,125,6,2011,96,312,278,
16,228,125,6,2011,96,426,420,
16,228,125,6,2011,96,426,420,
16,228,125,6,2011,96,426,420,
16,228,125,6,2011,96,426,420,
18,169,85,5,2010,132,210,240,
16,169,85,5,2010,132,210,240,
18,169,85,5,2010,132,210,240,
16,169,85,5,2010,132,210,240,
16,169,85,5,2010,132,315,325,
17,169,85,5,2010,132,315,325,
16,169,85,5,2010,132,315,325,
17,169,85,5,2010,132,315,325,
26,8,249,5,2010,74,122,115,
24,8,249,5,2010,74,142,137,
24,8,249,4,2010,74,142,137,
24,8,249,5,2010,74,142,137,
24,8,249,4,2010,74,142,137,
24,8,249,5,2010,74,142,137,
24,8,249,4,2010,74,142,137,
